channel_ref,channel_name,source,notes,channel_id
https://www.youtube.com/channel/UCJpdYc5lit139dzwIqyf3Mg,BoardGameBollocks,search:game review,,UCJpdYc5lit139dzwIqyf3Mg
https://www.youtube.com/channel/UCoZQiN0o7f36H7PaW4fVhFw,Retro Game Corps,search:game review,,UCoZQiN0o7f36H7PaW4fVhFw
https://www.youtube.com/channel/UCNvzD7Z-g64bPXxGzaQaa4g,gameranx,search:game review,,UCNvzD7Z-g64bPXxGzaQaa4g
https://www.youtube.com/channel/UCILwgMbCebOqPR_6H_1m8vA,SwitchUp,search:game review,,UCILwgMbCebOqPR_6H_1m8vA
https://www.youtube.com/channel/UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,search:game review,,UCQHX6ViZmPsWiYSFAyS0a3Q
https://www.youtube.com/channel/UCZ7AeeVbyslLM_8-nVy2B8Q,Skill Up,search:game review,,UCZ7AeeVbyslLM_8-nVy2B8Q
https://www.youtube.com/channel/UClOGLGPOqlAiLmOvXW5lKbw,MandaloreGaming,search:game review,,UClOGLGPOqlAiLmOvXW5lKbw
https://www.youtube.com/channel/UCfHmyqCntYHQ81ZukNu66rg,Razbuten,search:game review,,UCfHmyqCntYHQ81ZukNu66rg
https://www.youtube.com/channel/UCOkL7q2SeGZeZuj22njMYEA,Caddicarus,search:game review,,UCOkL7q2SeGZeZuj22njMYEA
https://www.youtube.com/channel/UCgmu30HaYVpa6aiKySHCz2w,Just1n,search:game review,,UCgmu30HaYVpa6aiKySHCz2w
https://www.youtube.com/channel/UChl3V2RJ1aQKuzFuZGAYplA,C-Shift,search:game review,,UChl3V2RJ1aQKuzFuZGAYplA
https://www.youtube.com/channel/UCsvn_Po0SmunchJYOWpOxMg,videogamedunkey,search:game review,,UCsvn_Po0SmunchJYOWpOxMg
https://www.youtube.com/channel/UCmjyHBcqxxQjrg0KUN944dQ,The Broken Meeple,search:game review,,UCmjyHBcqxxQjrg0KUN944dQ
https://www.youtube.com/channel/UC8LE61Ru3afJ4ryezPQ2Qpg,ItsIlusion,search:game review,,UC8LE61Ru3afJ4ryezPQ2Qpg
https://www.youtube.com/channel/UCPfyRDmXVUE6HQNwDBAwEXw,Ryan and Bethany Board Game Reviews,search:game review,,UCPfyRDmXVUE6HQNwDBAwEXw
https://www.youtube.com/channel/UCmm3qhYkdW699stV_28TQpw,Scott's Stash,search:game review,,UCmm3qhYkdW699stV_28TQpw
https://www.youtube.com/channel/UCK9_x1DImhU-eolIay5rb2Q,ACG,search:game review,,UCK9_x1DImhU-eolIay5rb2Q
https://www.youtube.com/channel/UCsgv2QHkT2ljEixyulzOnUQ,AngryJoeShow,search:game review,,UCsgv2QHkT2ljEixyulzOnUQ
https://www.youtube.com/channel/UCBdwqWmXhupzV5q8TfD-kNQ,The Critical Gamer,search:game review,,UCBdwqWmXhupzV5q8TfD-kNQ
https://www.youtube.com/channel/UC63anZxfVGHUEmfBAf5w7pw,CaseOh,search:horror game playthrough,,UC63anZxfVGHUEmfBAf5w7pw
https://www.youtube.com/channel/UCoAxtiY4NrFBMdsvYFI_B3A,The Outer Middle Show,search:horror game playthrough,,UCoAxtiY4NrFBMdsvYFI_B3A
https://www.youtube.com/channel/UCRnTaShzupujX46gLPWf5Mw,HGH Horror Games House,search:horror game playthrough,,UCRnTaShzupujX46gLPWf5Mw
https://www.youtube.com/channel/UCmp5y07YIV6i2jPX4x82hVQ,Hollow,search:horror game playthrough,,UCmp5y07YIV6i2jPX4x82hVQ
